delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,polygon.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,beeeep.started,beeeep.stopped,beep.stopped,response.started,text.started,textbox.started,mouse.started,button.started,response.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.4,400,unexp,0,10,10,1,69.0168816,,69.0111632,69.0168816,69.1167483,70.0164814,70.0164814,70.252492,space,0.2311857,None,70.2540762,70.66634757,,70.9475711,70.9475912,70.9657503,70.9657503,0.0005291,70.9657503,75.6526249,20,[0.02],[-0.32666666666666666],[1],[0],[0],[4.703753199999937],1,[4.703870800000004],[4.703876799999989],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,0,11,11,6,75.6658143,,75.6593408,75.6658143,75.7658545,76.6655531,76.6655531,77.0361047,space,0.3538742,None,77.0377302,77.14905097,77.4980515,77.4854494,77.4854719,77.4980515,77.4980515,0.0005701,77.4980515,80.7026646,200,[0.02],[-0.32666666666666666],[1],[0],[0],[3.215763299999935],1,[3.215932900000098],[3.2159401000001253],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,1,0,12,11,80.7151457,,80.7090736,80.7151457,80.8153484,81.7152719,81.7152719,81.7347464,space,0.014393,None,81.7362787,82.44814277,82.7640511,82.7455492,82.7455689,82.7640511,82.7640511,0.0004898,82.7640511,88.6836925,999,[0.02],[-0.32666666666666666],[1],[0],[0],[5.936882000000196],1,[5.936974799999916],[5.93698059999997],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,1,1,13,6,88.6972996,,88.6899769,88.6972996,88.7975027,89.6972403,89.6972403,89.9000079,space,0.1884718,None,89.9015854,90.01373087,90.3462302,90.3234437,90.3234616,90.3462302,90.3462302,0.0005278,90.3462302,93.8665551,150,[0.02],[-0.32666666666666666],[1],[0],[0],[3.5418328999999176],1,[3.541944199999989],[3.541949299999942],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,1,2,14,7,93.8799618,,93.8727501,93.8799618,93.980046,94.8798535,94.8798535,94.9838063,space,0.0906398,None,94.9853724,95.39676417,95.6963249,95.6834282,95.6834473,95.6963249,95.6963249,0.0004673,95.6963249,98.9496227,180,[0.02],[-0.32666666666666666],[1],[0],[0],[3.264997800000174],1,[3.265108899999859],[3.265114899999844],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,400,unexp,1,3,15,0,98.9630616,,98.9561667,98.9630616,99.0627689,99.9625464,99.9625464,100.0987063,space,0.1263661,None,100.1002807,100.2123658,,100.5017365,100.5017567,100.511818,100.511818,0.0005604,100.511818,103.0488794,200,[0.02],[-0.32666666666666666],[1],[0],[0],[2.54589349999992],1,[2.546002099999896],[2.546007599999939],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,1,4,16,3,103.0621007,,103.0550599,103.0621007,103.1621873,104.0620402,104.0620402,104.1814427,space,0.1108555,None,104.1830473,104.2951795,,104.5809708,104.5809906,104.5948564,104.5948564,0.000554,104.5948564,108.8828842,100,[0.02],[-0.32666666666666666],[1],[0],[0],[4.300439099999949],1,[4.300599599999941],[4.300607099999979],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,1,5,17,8,108.8950567,,108.8891092,108.8950567,108.9948635,109.8945279,109.8945279,110.0141099,space,0.1043176,None,110.0156758,110.7278728,,111.0065822,111.0066008,111.0270106,111.0270106,0.0004722,111.0270106,113.5306057,500,[0.02],[-0.32666666666666666],[1],[0],[0],[2.5227956999999606],1,[2.522904199999857],[2.5229104000000007],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,1,6,18,4,113.5441484,,113.5371119,113.5441484,113.6441375,114.5437888,114.5437888,114.7800907,space,0.2286069,None,114.7816951,115.1939937,115.5100681,115.4898282,115.489847,115.5100681,115.5100681,0.0004878,115.5100681,118.1139151,200,[0.02],[-0.32666666666666666],[1],[0],[0],[2.622740199999953],1,[2.622873099999879],[2.6228794999999536],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,1,7,19,10,118.1272914,,118.1213182,118.1272914,118.2274076,119.1270761,119.1270761,119.3634362,space,0.2328918,None,119.3650938,119.7765556,120.0765878,120.0677084,120.0677278,120.0765878,120.0765878,0.0004913,120.0765878,122.6458355,200,[0.02],[-0.32666666666666666],[1],[0],[0],[2.5769192000000203],1,[2.577022199999874],[2.577027699999917],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
